Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1744842091.67,0,0,14.0,2.0,4.0,4.0,20.62203125,46.518932938279704,1001.8797688319722,95.09794948417218,119334.6
1744842096.65,0,0,13.8,2.0,4.0,4.0,20.4576171875,46.16581163145277,1001.8764217841763,95.12607176364773,121135.0
1744842101.63,0,0,15.2,2.0,4.0,4.0,20.4576171875,46.16581163145277,1001.8764217841763,95.12607176364773,121135.0
1744842106.64,0,0,14.2,2.0,4.0,4.0,20.3970703125,45.92836632793922,1001.8962984607422,94.95906692076463,121812.2
1744842111.67,0,0,15.0,2.0,4.0,4.0,20.3626953125,45.810544208404416,1001.9153444766822,94.79904351512374,122288.8
1744842116.64,0,0,15.8,2.0,4.0,4.0,20.210507812499998,45.786929238773666,1001.9112943045487,94.83307244416484,122479.4
1744842121.67,0,0,14.8,2.0,4.0,4.0,20.2259765625,46.11325719988988,1001.9138455012114,94.81163763619882,122304.8
1744842126.64,0,0,15.8,2.0,4.0,4.0,20.25890625,46.34522198955814,1001.9098570962515,94.8451477648384,122109.0
1744842131.66,0,0,19.6,2.0,4.0,4.0,20.312382812499997,46.6426529551379,1001.907201025155,94.86746382163429,121360.0
1744842136.63,0,0,19.0,2.0,4.0,4.0,20.380429687499998,47.03352134576301,1001.9103269496054,94.8412000649494,121307.8
1744842141.67,0,0,17.6,2.0,4.0,4.0,20.457109374999998,47.22383459907589,1001.9125322242517,94.82267170506601,122093.2
1744842146.65,0,0,15.6,2.0,4.0,4.0,20.5314453125,46.91204990971903,1001.911652655677,94.83006164697238,123729.4
1744842151.64,0,0,12.6,2.0,4.0,4.0,20.5403515625,46.34481251224172,1001.9086543301312,94.85525326559409,124542.4
1744842156.66,0,0,17.8,2.0,4.8,4.8,20.610625000000002,46.07314819403206,1001.922189499058,94.74153264279212,124325.0
1744842161.63,0,0,21.2,2.0,4.8,4.8,20.67046875,46.2690709478642,1001.9362492714733,94.62340561742676,123799.4
1744842166.67,0,0,19.8,2.0,5.6,5.6,20.744921875000003,46.42511884095923,1001.9405608322634,94.58718107932677,124525.2
1744842171.64,0,0,21.4,2.0,5.6,5.6,20.7943359375,46.18034174698544,1001.9453590737687,94.54686783382886,125093.0
1744842176.66,0,0,18.6,3.0,6.4,7.0,20.8457421875,46.1826457333936,1001.9443062558173,94.55571323119315,124751.4
1744842181.65,0,0,17.6,3.0,6.4,7.0,20.895429687500002,46.31120650457268,1001.9430038672687,94.56665549120235,126134.8
1744842186.68,0,0,18.2,3.0,6.2,7.0,20.895156250000003,46.03017135335486,1001.9454605437379,94.54601528500385,126114.4
1744842191.63,0,0,16.0,3.0,6.2,7.0,20.8938671875,45.68207017001497,1001.9470027130286,94.5330585238211,127499.6
1744842196.69,0,0,16.4,2.4,6.0,7.0,20.942382812499996,45.49074028077791,1001.9466962998573,94.53563289525661,128714.6
1744842201.64,0,0,16.4,2.4,6.0,7.0,20.9143359375,45.23709315230299,1001.9452631479547,94.54767374736105,128122.6
1744842206.68,0,0,16.6,3.0,7.0,7.4,20.908437499999998,45.4990834196754,1001.9625521571583,94.40241850939326,127670.8
1744842211.65,0,0,18.6,3.0,7.0,7.4,20.838749999999997,45.76015897415881,1001.9623611357981,94.40402334239556,127997.6
1744842216.67,0,0,16.0,2.2,6.4,8.0,20.784609374999995,45.831042410719625,1001.9586346075909,94.43533186441006,128129.2
1744842221.64,0,0,15.6,2.2,6.4,8.0,20.7519140625,45.86768082251825,1001.9518499716007,94.49233366071255,128732.4
1744842226.66,0,0,10.0,2.0,6.4,6.8,20.6018359375,45.84422977755257,1001.9289936161591,94.6843662015477,129655.4
1744842231.64,0,0,11.8,2.0,6.4,6.8,20.4637109375,45.85890330551611,1001.9040061504651,94.89430696183355,129692.4
1744842236.68,0,0,13.4,2.0,5.0,6.0,20.4149609375,46.073805979199875,1001.8951460634726,94.96874913195634,129514.4
1744842241.61,0,0,12.8,2.0,5.0,6.0,20.4149609375,46.073805979199875,1001.8951460634726,94.96874913195634,129514.4
1744842246.67,0,0,13.0,2.0,5.8,6.8,20.40859375,46.46091208492799,1001.8968092914016,94.95477471178276,129004.0
